,area,power,max_arrival_time
adder_combinational_bf16,1032.88,0.00174519,2.5
adder_combinational_fast_bf16,927.542,0.00195394,1.46
adder_combinational_fast_fp32,2886.37,0.0108059,2.16
adder_combinational_fast_fp8,510.188,0.00198759,1.2
adder_combinational_fp32,3230.04,0.00594875,3.62
adder_combinational_fp8,466.032,0.00190965,1.77
adder_pipelined_bf16,1657.71,0.00266433,0.96
adder_pipelined_fast_bf16,1603.45,0.00245527,0.74
adder_pipelined_fast_fp32,3979.09,0.0052372,1.28
adder_pipelined_fast_fp8,883.652,0.00166099,0.67
adder_pipelined_fp32,4013.14,0.00520281,1.34
adder_pipelined_fp8,867.958,0.0016247,0.7
adder_stage_2_bf16,245.252,0.000211722,0.5
adder_stage_2_fast_bf16,278.768,0.000327808,0.59
adder_stage_2_fast_fp32,453.796,0.000368852,0.62
adder_stage_2_fast_fp8,134.33,0.000157464,0.5
adder_stage_2_fp32,407.778,0.00025247,0.54
adder_stage_2_fp8,126.616,0.000125909,0.34
adder_stage_3_bf16,187.53,7.11147e-05,0.43
adder_stage_3_fp32,683.354,0.000252061,0.64
adder_stage_3_fp8,88.046,4.12743e-05,0.22
adder_stage_4_bf16,325.584,0.000362093,0.73
adder_stage_4_fast_bf16,327.18,0.000361576,0.71
adder_stage_4_fast_fp32,1045.11,0.000710296,1.14
adder_stage_4_fast_fp8,174.762,0.000258125,0.45
adder_stage_4_fp32,1464.06,0.00105857,1.13
adder_stage_4_fp8,146.034,0.000176167,0.59
adder_stage_5_bf16,319.732,0.000188842,0.91
adder_stage_5_fp32,793.744,0.000386556,1.12
adder_stage_5_fp8,181.412,0.000121031,0.67
lmul_combinational_fast_bf16,312.55,0.000345894,0.52
lmul_combinational_fast_fp32,732.83,0.000580225,0.64
lmul_combinational_fast_fp8,172.368,0.000221201,0.44
lmul_combinational_simple_bf16,255.626,0.000252634,0.48
lmul_combinational_simple_fp32,702.506,0.000531981,0.55
lmul_combinational_simple_fp8,112.784,0.00011116,0.36
lmul_pipelined_fast_bf16,688.674,0.000928291,0.6
lmul_pipelined_fast_fp32,1529.23,0.00130025,0.67
lmul_pipelined_fast_fp8,348.726,0.000582629,0.51
lmul_pipelined_simple_bf16,675.374,0.000895227,0.61
lmul_pipelined_simple_fp32,1526.04,0.00132914,0.72
lmul_pipelined_simple_fp8,348.194,0.00058525,0.55
multiplier_bf16,1148.59,0.00145203,1.03
multiplier_combinational_bf16,1102.57,0.00704769,1.98
multiplier_combinational_fast_bf16,1067.72,0.00746015,1.94
multiplier_combinational_fast_fp32,6311.91,0.133398,2.85
multiplier_combinational_fast_fp8,347.396,0.00105533,1.29
multiplier_combinational_fp32,6353.41,0.176407,3.08
multiplier_combinational_fp8,236.208,0.000409495,1.4
multiplier_fast_bf16,1169.6,0.00165408,1.05
multiplier_fast_fp32,6457.42,0.00931073,1.62
multiplier_fast_fp8,487.578,0.000761612,0.72
multiplier_fp32,6323.09,0.00905862,1.65
multiplier_fp8,473.746,0.000716672,0.68
multiplier_stage_2_bf16,551.418,0.00124588,0.86
multiplier_stage_2_fast_bf16,552.482,0.00118352,0.91
multiplier_stage_2_fast_fp32,4149.6,0.0292743,1.46
multiplier_stage_2_fast_fp8,162.26,0.000161324,0.55
multiplier_stage_2_fp32,4009.42,0.0317692,1.51
multiplier_stage_2_fp8,165.186,0.000164563,0.5
multiplier_stage_3_bf16,132.468,4.80459e-05,0.28
multiplier_stage_3_fast_bf16,134.064,4.84747e-05,0.29
multiplier_stage_3_fast_fp32,319.466,8.04445e-05,0.42
multiplier_stage_3_fast_fp8,71.82,2.72315e-05,0.23
multiplier_stage_3_fp32,322.392,8.80949e-05,0.42
multiplier_stage_3_fp8,71.82,2.72315e-05,0.23
multiplier_stage_4_bf16,366.548,0.000207012,0.94
multiplier_stage_4_fast_bf16,352.982,0.000216456,0.69
multiplier_stage_4_fast_fp32,1253.66,0.000553272,1.07
multiplier_stage_4_fast_fp8,160.132,0.000118213,0.65
multiplier_stage_4_fp32,1285.58,0.000567724,1.24
multiplier_stage_4_fp8,148.162,9.70021e-05,0.74
